"","Top X Genes","Less than Y samples","Gene Count"
"1",15000,3,14996
"2",15000,4,14988
"3",15000,5,14966
"4",15000,6,14923
"5",15000,7,14859
"6",15000,8,14726
"7",15000,9,14497
"8",15000,10,14045
"9",16000,3,15981
"10",16000,4,15944
"11",16000,5,15889
"12",16000,6,15795
"13",16000,7,15667
"14",16000,8,15418
"15",16000,9,15069
"16",16000,10,14401
"17",17000,3,16936
"18",17000,4,16854
"19",17000,5,16746
"20",17000,6,16563
"21",17000,7,16329
"22",17000,8,15971
"23",17000,9,15474
"24",17000,10,14644
"25",18000,3,17861
"26",18000,4,17704
"27",18000,5,17499
"28",18000,6,17194
"29",18000,7,16824
"30",18000,8,16327
"31",18000,9,15704
"32",18000,10,14745
"33",19000,3,18688
"34",19000,4,18374
"35",19000,5,18019
"36",19000,6,17603
"37",19000,7,17108
"38",19000,8,16512
"39",19000,9,15806
"40",19000,10,14789
"41",20000,3,19365
"42",20000,4,18840
"43",20000,5,18326
"44",20000,6,17781
"45",20000,7,17215
"46",20000,8,16569
"47",20000,9,15830
"48",20000,10,14795
