Hugo_Symbol	Frame_Shift_Del	Frame_Shift_Ins	In_Frame_Del	In_Frame_Ins	Missense_Mutation	Nonsense_Mutation	Nonstop_Mutation	Splice_Site	Translation_Start_Site	total	MutatedSamples	AlteredSamples
TTN	3	1	0	0	27	1	0	1	0	33	1	1
EPPK1	1	1	0	0	13	1	0	0	0	16	1	1
AKAP13	0	0	0	0	15	0	0	0	0	15	1	1
DNHD1	1	0	0	1	13	0	0	0	0	15	1	1
ZC3H11B	1	0	0	0	13	0	0	0	0	14	1	1
ZFHX4	2	0	1	0	8	3	0	0	0	14	1	1
CAND2	0	0	0	0	13	0	0	0	0	13	1	1
HRNR	0	0	0	0	12	0	0	0	1	13	1	1
PARP4	0	0	0	0	13	0	0	0	0	13	1	1
ALMS1	0	0	1	0	11	0	0	0	0	12	1	1
ANKRD36	0	0	0	0	11	0	0	1	0	12	1	1
FAT2	1	0	0	0	11	0	0	0	0	12	1	1
MUC19	1	0	0	0	10	0	1	0	0	12	1	1
OBSCN	0	0	0	0	12	0	0	0	0	12	1	1
SYNE2	0	0	0	0	11	1	0	0	0	12	1	1
ENST00000612640	0	0	0	0	11	0	0	0	0	11	1	1
MKI67	0	0	0	0	11	0	0	0	0	11	1	1
NBPF12	0	0	0	0	11	0	0	0	0	11	1	1
PABPC3	0	0	1	0	10	0	0	0	0	11	1	1
C4orf54	1	1	0	0	7	1	0	0	0	10	1	1
CRYBG1	0	0	0	0	10	0	0	0	0	10	1	1
LAMA5	0	0	0	0	10	0	0	0	0	10	1	1
NBPF26	0	0	0	0	10	0	0	0	0	10	1	1
PDZD2	4	0	0	0	6	0	0	0	0	10	1	1
RNF213	0	0	0	0	10	0	0	0	0	10	1	1
SYNE1	0	0	0	0	10	0	0	0	0	10	1	1
ABCA1	1	0	0	0	7	1	0	0	0	9	1	1
AKAP6	0	0	0	0	9	0	0	0	0	9	1	1
ANKRD30B	0	0	0	0	9	0	0	0	0	9	1	1
DNAH14	0	0	0	0	8	0	0	1	0	9	1	1
EIF3CL	0	0	0	0	8	1	0	0	0	9	1	1
ENST00000612565	0	0	0	0	9	0	0	0	0	9	1	1
FSIP2	0	0	0	0	9	0	0	0	0	9	1	1
NBPF3	0	0	0	0	9	0	0	0	0	9	1	1
BUB3	0	0	0	0	8	0	0	0	0	8	1	1
CCDC57	1	0	0	0	7	0	0	0	0	8	1	1
DNAH1	2	0	0	0	6	0	0	0	0	8	1	1
DNAH11	0	0	0	0	8	0	0	0	0	8	1	1
EIF2S3B	1	0	0	0	7	0	0	0	0	8	1	1
FAT1	0	0	0	0	8	0	0	0	0	8	1	1
PIKFYVE	0	0	0	0	7	1	0	0	0	8	1	1
PLEC	0	0	0	0	8	0	0	0	0	8	1	1
PPP1R15A	0	0	0	0	8	0	0	0	0	8	1	1
RPS27AP5	0	0	0	0	8	0	0	0	0	8	1	1
SON	2	2	1	0	3	0	0	0	0	8	1	1
TRANK1	0	0	0	0	8	0	0	0	0	8	1	1
ULK4	1	0	0	0	7	0	0	0	0	8	1	1
ZNF598	1	0	0	1	6	0	0	0	0	8	1	1
ZNF717	1	0	0	0	7	0	0	0	0	8	1	1
ZP3	1	1	0	0	6	0	0	0	0	8	1	1
ADAMTS7	0	0	0	0	7	0	0	0	0	7	1	1
ATAD3C	0	0	0	0	7	0	0	0	0	7	1	1
ATP7B	0	0	0	0	7	0	0	0	0	7	1	1
CACNA1H	0	0	0	0	5	2	0	0	0	7	1	1
CCDC18	0	1	0	0	5	1	0	0	0	7	1	1
CFAP44	1	0	0	0	6	0	0	0	0	7	1	1
CHL1	0	0	0	0	7	0	0	0	0	7	1	1
COL6A3	0	0	0	0	6	1	0	0	0	7	1	1
CROCC	0	0	0	0	7	0	0	0	0	7	1	1
DNAAF11	0	0	0	0	7	0	0	0	0	7	1	1
DST	0	0	0	0	7	0	0	0	0	7	1	1
FLG	2	0	0	0	5	0	0	0	0	7	1	1
HNRNPA1L2	1	0	0	0	6	0	0	0	0	7	1	1
MAST4	1	0	0	0	6	0	0	0	0	7	1	1
MYH7B	0	0	0	0	7	0	0	0	0	7	1	1
NBPF11	0	0	0	0	7	0	0	0	0	7	1	1
PAPPA2	0	0	0	0	7	0	0	0	0	7	1	1
PCNT	1	0	0	0	6	0	0	0	0	7	1	1
PKD1L1	1	0	0	0	6	0	0	0	0	7	1	1
PLIN4	0	0	0	0	7	0	0	0	0	7	1	1
PPL	1	0	0	0	6	0	0	0	0	7	1	1
PRRC2C	2	1	0	0	4	0	0	0	0	7	1	1
PRX	2	0	0	0	5	0	0	0	0	7	1	1
RGPD3	0	0	0	0	7	0	0	0	0	7	1	1
TNC	0	0	0	0	7	0	0	0	0	7	1	1
TNRC18	0	0	0	0	7	0	0	0	0	7	1	1
TTLL11	0	0	0	1	5	1	0	0	0	7	1	1
ZFHX2	1	0	0	0	5	1	0	0	0	7	1	1
ZNF469	0	0	0	0	6	1	0	0	0	7	1	1
AHNAK2	0	0	0	0	6	0	0	0	0	6	1	1
ANK2	0	0	0	0	6	0	0	0	0	6	1	1
ARFGEF3	0	0	0	0	6	0	0	0	0	6	1	1
ATAD5	0	0	1	0	5	0	0	0	0	6	1	1
ATP10D	0	0	0	0	6	0	0	0	0	6	1	1
BAHCC1	0	0	0	0	6	0	0	0	0	6	1	1
BRCA1	0	0	0	0	6	0	0	0	0	6	1	1
BTN2A1	0	0	0	0	6	0	0	0	0	6	1	1
CAP1	0	0	0	0	6	0	0	0	0	6	1	1
CCDC171	1	0	0	0	4	1	0	0	0	6	1	1
CLHC1	0	0	0	0	6	0	0	0	0	6	1	1
DNAH7	0	0	0	0	6	0	0	0	0	6	1	1
DOCK8	0	0	0	0	6	0	0	0	0	6	1	1
DYNC2H1	0	0	0	0	6	0	0	0	0	6	1	1
EGF	0	0	0	0	6	0	0	0	0	6	1	1
EML5	0	0	0	0	4	2	0	0	0	6	1	1
ESPL1	0	0	0	0	6	0	0	0	0	6	1	1
FAM184B	0	0	0	0	6	0	0	0	0	6	1	1
HEATR1	0	0	0	0	6	0	0	0	0	6	1	1
HELZ2	0	0	0	0	6	0	0	0	0	6	1	1
KMT2B	0	0	0	0	6	0	0	0	0	6	1	1
KRT10	2	0	0	0	4	0	0	0	0	6	1	1
LINS1	0	0	0	0	6	0	0	0	0	6	1	1
LRRK2	1	0	0	0	5	0	0	0	0	6	1	1
MAP4	0	0	0	0	5	1	0	0	0	6	1	1
NACA2	0	0	0	0	5	1	0	0	0	6	1	1
NBPF10	0	0	0	0	6	0	0	0	0	6	1	1
NBPF20	0	0	0	0	6	0	0	0	0	6	1	1
NUP210	0	0	0	0	6	0	0	0	0	6	1	1
OBSL1	0	0	0	0	6	0	0	0	0	6	1	1
PCDHB8	0	0	0	0	6	0	0	0	0	6	1	1
PITRM1	0	0	0	0	5	0	0	1	0	6	1	1
PLA2R1	0	0	0	0	6	0	0	0	0	6	1	1
PPIG	0	0	0	0	5	0	0	1	0	6	1	1
PREX1	0	0	0	0	6	0	0	0	0	6	1	1
RESF1	0	0	0	0	6	0	0	0	0	6	1	1
RGPD4	0	0	0	0	6	0	0	0	0	6	1	1
