gene	mean	median	longest_isoform	merged
DDX11L1	1652	1652	1652	1652
WASH7P	1769	1769	1769	1769
MIR6859-1	38	23	68	68
MIR1302-2	79	79	138	138
FAM138A	1130	1130	1130	1130
OR4F5	918	918	918	918
LOC101927589	765	765	765	765
LOC729737	5474	5474	5474	5474
LOC100996442	1322	1397	1951	2564
LOC102723897	1723	1723	1723	1723
LOC102723917	485	485	605	690
LOC101929192	270	270	270	270
OR4F29	939	939	939	939
RP4-669L17.10	4370	4370	4370	4370
LOC100134822	922	813	1387	2243
RP5-857K21.5	798	798	798	798
MIR6723	55	55	89	89
OR4F16	939	939	939	939
LOC100133331	4273	4273	4273	4273
LOC101928706	312	312	312	312
LOC101060494	716	716	716	716
LOC100288069	1371	1371	1371	1371
LOC100287934	1408	1408	1408	1408
FAM87B	1944	1944	1944	1944
LINC00115	1317	1317	1317	1317
LINC01128	6147	6527	6776	9233
FAM41C	1706	1706	1706	1706
LOC284600	2889	2889	2889	2889
LOC100130417	496	496	496	496
LOC101928801	1710	1710	1710	1710
SAMD11	2554	2554	2554	2554
NOC2L	2800	2800	2800	2800
KLHL17	2415	2586	2685	2868
PLEKHN1	2273	2299	2404	2445
PERM1	3040	3040	3040	3040
HES4	1306	1038	1918	2092
ISG15	667	667	667	667
AGRN	6860	7326	7359	7664
LOC100288175	993	993	993	993
RNF223	1122	1122	1122	1122
C1orf159	2407	2302	3221	3988
RP11-465B22.5	1620	1620	1620	1620
MIR200B	46	22	95	95
MIR200A	44	22	90	90
MIR429	52	52	83	83
TTLL10-AS1	4144	4144	4144	4144
TTLL10	2231	2220	2677	3889
TNFRSF18	1122	1179	1200	1200
TNFRSF4	1403	1403	1703	1751
SDF4	2080	2080	2138	2138
B3GALT6	2793	2793	2793	2793
FAM132A	1043	1043	1043	1043
UBE2J2	2323	2328	2657	3250
LOC101928895	909	909	909	909
SCNN1D	3007	3007	3054	3054
ACAP3	4026	3728	6202	6773
MIR6726	34	21	61	61
PUSL1	1163	1240	1340	1341
CPSF3L	1973	1857	2629	2629
MIR6727	36	23	65	65
GLTPD1	2134	2193	2208	2555
TAS1R3	2363	2363	2559	3053
DVL1	2398	2397	3004	3042
MIR6808	34	22	59	59
MXRA8	2358	2312	2731	3861
AURKAIP1	903	909	990	1147
CCNL2	2498	2424	4402	5266
LOC148413	1748	1748	1748	1748
MRPL20	868	745	1127	1854
ANKRD65	1980	2192	2222	2244
TMEM88B	492	492	492	492
LOC102724312	1562	1562	1562	1562
VWA1	4461	4461	4659	4659
ATAD3C	2810	2810	3859	3859
ATAD3B	2445	2433	3797	4117
ATAD3A	2493	2502	2646	2807
TMEM240	1117	1117	1117	1117
SSU72	2843	2843	4384	5151
C1orf233	2089	2089	2089	2089
MIB2	3558	3371	4283	4521
MMP23B	1534	1626	1737	1744
CDK11B	3061	3168	3865	4317
SLC35E2B	4474	5909	6025	6388
MMP23A	906	906	906	906
CDK11A	2613	2613	2628	2628
SLC35E2	4226	4226	6294	7297
NADK	3243	3183	3723	4477
GNB1	3129	3145	3194	3194
CALML6	879	879	1101	1138
TMEM52	958	958	958	958
KIAA1751	5147	5236	5406	7809
GABRD	1925	1925	1925	1925
PRKCZ	2234	2160	3119	5183
LOC101929017	4111	4111	4111	4111
LOC100506504	1492	1492	1492	1492
C1orf86	1596	1441	3576	7089
SKI	5447	5673	5707	6004
MORN1	1813	1592	2679	3105
LOC100129534	2248	2248	2248	2248
RER1	1662	1315	3102	3355
PEX10	2044	2044	2074	2074
PLCH2	5010	4837	5450	6151
PANK4	2375	2375	2642	2668
HES5	1325	1325	1344	1402
LOC115110	2209	2209	2209	2209
LOC100133445	963	963	963	963
TNFRSF14	1903	1707	3017	3240
